"country","day","term","rank","repetitions"
"42","Argentina","2024-06-11","Patito Feo",2,48
"43","Argentina","2024-06-11","Argentina Paraguay Sub 23",3,48
"44","Argentina","2024-06-11","Horacio Rodríguez Larreta",4,48
"45","Argentina","2024-06-11","Ley Bases",5,48
"46","Argentina","2024-06-12","Ley de Bases",1,48
"47","Argentina","2024-06-12","Gary Medel",2,48
"48","Argentina","2024-06-12","Portugal - Irlanda",3,48
"49","Argentina","2024-06-12","Georgina Rodríguez",4,48
"50","Argentina","2024-06-12","Globant",5,48
"51","Argentina","2024-06-13","Ley de Bases",1,48
"52","Argentina","2024-06-13","Gary Medel",2,48
"53","Argentina","2024-06-13","Portugal - Irlanda",3,48
"54","Argentina","2024-06-13","Georgina Rodríguez",4,48
"55","Argentina","2024-06-13","Globant",5,48
"56","Argentina","2024-06-14","Ley Bases",1,48
"57","Argentina","2024-06-14","Deportivo Riestra  River Plate",2,48
"58","Argentina","2024-06-14","Boca Juniors  Vélez",3,48
"59","Argentina","2024-06-14","Racing",4,48
"60","Argentina","2024-06-14","Independiente",5,48
"61","Argentina","2024-06-15","Argentina - Guatemala",1,48
"62","Argentina","2024-06-15","Boca",2,48
"63","Argentina","2024-06-15","Carboni",3,48
"64","Argentina","2024-06-15","Copa america",4,48
"65","Argentina","2024-06-15","Talleres",5,48
"66","Argentina","2024-06-16","España vs Croacia",1,48
"67","Argentina","2024-06-16","Albania",2,48
"68","Argentina","2024-06-16","Feliz dia del Padre",3,48
"69","Argentina","2024-06-16","Philadelphia  Inter Miami",4,48
"70","Argentina","2024-06-16","NBA",5,48
"71","Argentina","2024-06-17","Día del Padre",1,72
"72","Argentina","2024-06-17","Inglaterra",2,72
"73","Argentina","2024-06-17","Feriado 17 de junio",3,72
"74","Argentina","2024-06-17","La Casa del dragon",4,72
"75","Argentina","2024-06-17","Nelson Castro",5,72
"76","Argentina","2024-06-18","Francia vs",1,72
"77","Argentina","2024-06-18","Loan Corrientes",2,72
"78","Argentina","2024-06-18","Belgica",3,72
"79","Argentina","2024-06-18","Argentina vs canada",4,72
"80","Argentina","2024-06-18","Don Omar",5,72
"81","Argentina","2024-06-19","Boca",1,72
"82","Argentina","2024-06-19","Clima",2,72
"83","Argentina","2024-06-19","Gran Hermano",3,72
"84","Argentina","2024-06-19","Alperovich",4,72
"85","Argentina","2024-06-19","Portugal",5,72
"86","Argentina","2024-06-20","Alemania",1,72
"87","Argentina","2024-06-20","Inter Miami  Columbus Crew",2,72
"88","Argentina","2024-06-20","Croacia vs",3,72
"89","Argentina","2024-06-20","Furia",4,72
"90","Argentina","2024-06-20","A que hora juega Argentina",5,72
"91","Argentina","2024-06-21","Copa america",1,72
"92","Argentina","2024-06-21","Chile vs peru",2,72
"93","Argentina","2024-06-21","CONMEBOL Copa América",3,72
"94","Argentina","2024-06-21","España  Italia",4,72
"95","Argentina","2024-06-21","Francia vs paises Bajos",5,72
"96","Argentina","2024-06-22","Francia vs Holanda",1,72
"97","Argentina","2024-06-22","Polonia",2,72
"98","Argentina","2024-06-22","F1",3,72
"99","Argentina","2024-06-22","Diaz Ayuso",4,72
"100","Argentina","2024-06-22","Brunenger",5,72
"101","Argentina","2024-06-23","Ecuador vs Venezuela",1,72
"102","Argentina","2024-06-23","Portugal",2,72
"103","Argentina","2024-06-23","Belgica",3,72
"104","Argentina","2024-06-23","Caso Loan",4,72
"105","Argentina","2024-06-23","Georgia",5,72
"106","Argentina","2024-06-24","Uruguay",1,96
"107","Argentina","2024-06-24","Estados Unidos vs",2,96
"108","Argentina","2024-06-24","Alemania",3,96
"109","Argentina","2024-06-24","F1",4,96
"110","Argentina","2024-06-24","Mexico",5,96
"111","Argentina","2024-06-25","Argentina vs Chile",1,96
"112","Argentina","2024-06-25","Colombia vs Paraguay",2,96
"113","Argentina","2024-06-25","Dolar hoy",3,96
"114","Argentina","2024-06-25","Croacia vs Italia",4,96
"115","Argentina","2024-06-25","Messi",5,96
"116","Argentina","2024-06-26","Peru vs canada",1,96
"117","Argentina","2024-06-26","Argentina",2,96
"118","Argentina","2024-06-26","Francia  Polonia",3,96
"119","Argentina","2024-06-26","Argentina hoy",4,96
"120","Argentina","2024-06-26","Países Bajos  Austria",5,96
"121","Argentina","2024-06-27","Venezuela vs mexico",1,96
"122","Argentina","2024-06-27","Georgia",2,96
"123","Argentina","2024-06-27","Bolivia",3,96
"124","Argentina","2024-06-27","Ecuador  Jamaica",4,96
"125","Argentina","2024-06-27","Pedro Brieger",5,96
"126","Argentina","2024-06-28","Uruguay vs Bolivia",1,96
"127","Argentina","2024-06-28","Estados Unidos vs",2,96
"128","Argentina","2024-06-28","Ley Bases",3,96
"129","Argentina","2024-06-28","Celine Dion",4,96
"130","Argentina","2024-06-28","Dia del Boludo",5,96
"131","Australia","2024-06-03","UFC",1,8
"132","Australia","2024-06-03","Natasha Ryan",2,8
"133","Australia","2024-06-03","Rupert Murdoch",3,8
"134","Australia","2024-06-03","Alex de Minaur",4,8
"135","Australia","2024-06-03","T20 World Cup",5,8
"136","Australia","2024-06-04","Matildas",1,8
"137","Australia","2024-06-04","Rob Burrow",2,8
"138","Australia","2024-06-04","Lydia Williams",3,8
"139","Australia","2024-06-04","Claudia Sheinbaum",4,8
"140","Australia","2024-06-04","Minimum wage Australia",5,8
"141","Australia","2024-06-05","India election 2024",1,8
"142","Australia","2024-06-05","Women's State of Origin",2,8
"143","Australia","2024-06-05","Alex de Minaur",3,8
"144","Australia","2024-06-05","P&O Cruises Australia",4,8
"145","Australia","2024-06-05","Ticketmaster",5,8
"146","Australia","2024-06-06","State of Origin",1,8
"147","Australia","2024-06-06","NRL",2,8
"148","Australia","2024-06-06","Hey Hey It's Saturday",3,8
"149","Australia","2024-06-06","NRL State of Origin",4,8
"150","Australia","2024-06-06","The Acolyte",5,8
"151","Australia","2024-06-07","Michael Mosley",1,8
"152","Australia","2024-06-07","Women's State of Origin",2,8
"153","Australia","2024-06-07","Socceroos",3,8
"154","Australia","2024-06-07","Peter Costello",4,8
"155","Australia","2024-06-07","Nvidia",5,8
"156","Australia","2024-06-08","Carlos Alcaraz",1,8
"157","Australia","2024-06-08","Michael Mosley found",2,8
"158","Australia","2024-06-08","Baby Reindeer",3,8
"159","Australia","2024-06-08","Iga Swiatek",4,8
"160","Australia","2024-06-08","Hit Man",5,8
"161","Australia","2024-06-09","F1",1,8
"162","Australia","2024-06-09","F1 canada",2,8
"163","Australia","2024-06-09","Jacques Villeneuve",3,8
"164","Australia","2024-06-09","Broncos",4,8
"165","Australia","2024-06-09","Formula 1",5,8
"166","Australia","2024-06-10","Michael Mosley",1,16
"167","Australia","2024-06-10","India vs Pakistan",2,16
"168","Australia","2024-06-10","Iga Swiatek",3,16
"169","Australia","2024-06-10","Alcaraz",4,16
"170","Australia","2024-06-10","Swans",5,16
"171","Australia","2024-06-11","iOS 18",1,16
"172","Australia","2024-06-11","Christian Petracca",2,16
"173","Australia","2024-06-11","King's Birthday honours Australia 2024",3,16
"174","Australia","2024-06-11","Carlos Alcaraz",4,16
"175","Australia","2024-06-11","Swimming Trials",5,16
"176","Australia","2024-06-12","Socceroos",1,16
"177","Australia","2024-06-12","Alexa Leary",2,16
"178","Australia","2024-06-12","iOS 18",3,16
"179","Australia","2024-06-12","Emily Seebohm",4,16
"180","Australia","2024-06-12","Dustin Martin",5,16
"181","Australia","2024-06-13","Socceroos",1,16
"182","Australia","2024-06-13","Alexa Leary",2,16
"183","Australia","2024-06-13","iOS 18",3,16
"184","Australia","2024-06-13","Emily Seebohm",4,16
"185","Australia","2024-06-13","Dustin Martin",5,16
"186","Australia","2024-06-14","NBA",1,16
"187","Australia","2024-06-14","Bridgerton Season 3 part 2",2,16
"188","Australia","2024-06-14","U.S. Open golf",3,16
"189","Australia","2024-06-14","Jerry West",4,16
"190","Australia","2024-06-14","The Boys",5,16
"191","Australia","2024-06-15","Euro 2024",1,16
"192","Australia","2024-06-15","Cate Campbell",2,16
"193","Australia","2024-06-15","Conor McGregor",3,16
"194","Australia","2024-06-15","NHL",4,16
"195","Australia","2024-06-15","Broncos",5,16
"196","Australia","2024-06-16","Trooping the Colour",1,16
"197","Australia","2024-06-16","Cody Simpson",2,16
"198","Australia","2024-06-16","Kevin Campbell",3,16
"199","Australia","2024-06-16","Pauline Hanson Robert Irwin cartoon",4,16
"200","Australia","2024-06-16","Matija Sarkic",5,16
"201","Australia","2024-06-17","Father's Day",1,24
"202","Australia","2024-06-17","House of the Dragon",2,24
"203","Australia","2024-06-17","State of Origin Game 2",3,24
"204","Australia","2024-06-17","Bryson DeChambeau",4,24
"205","Australia","2024-06-17","Gordon Ramsay bike accident",5,24
"206","Australia","2024-06-18","John Farnham",1,24
"207","Australia","2024-06-18","Rory McIlroy",2,24
"208","Australia","2024-06-18","Jerry Seinfeld",3,24
"209","Australia","2024-06-18","Celine Dion",4,24
"210","Australia","2024-06-18","Teams",5,24
"211","Australia","2024-06-19","NBA Finals",1,24
"212","Australia","2024-06-19","RBA",2,24
"213","Australia","2024-06-19","Connor Garden-Bachop",3,24
"214","Australia","2024-06-19","Quantum",4,24
"215","Australia","2024-06-19","Ian McKellen",5,24
"216","Australia","2024-06-20","Justin Timberlake",1,24
"217","Australia","2024-06-20","Croatia vs Albania",2,24
"218","Australia","2024-06-20","Vladimir Putin",3,24
"219","Australia","2024-06-20","State of Origin",4,24
"220","Australia","2024-06-20","Nvidia",5,24
"221","Australia","2024-06-21","GYG",1,24
"222","Australia","2024-06-21","Stonehenge",2,24
"223","Australia","2024-06-21","Full moon",3,24
"224","Australia","2024-06-21","Ash Barty",4,24
"225","Australia","2024-06-21","Chevy stewart",5,24
"226","Australia","2024-06-22","Donald Sutherland",1,24
"227","Australia","2024-06-22","Copa America",2,24
"228","Australia","2024-06-22","Josh Giddey",3,24
"229","Australia","2024-06-22","Winter Solstice",4,24
"230","Australia","2024-06-22","Trigger Warning",5,24
"231","Australia","2024-06-23","NHL",1,24
"232","Australia","2024-06-23","Rabbitohs vs Sea Eagles",2,24
"233","Australia","2024-06-23","Formula 1",3,24
"234","Australia","2024-06-23","Super Rugby final",4,24
"235","Australia","2024-06-23","Port Adelaide",5,24
"236","Australia","2024-06-24","Marion Shopping Centre",1,32
"237","Australia","2024-06-24","World Ugliest Dog",2,32
"238","Australia","2024-06-24","MrBeast",3,32
"239","Australia","2024-06-24","Spanish GP",4,32
"240","Australia","2024-06-24","Essendon",5,32
"241","Australia","2024-06-25","Tamayo Perry",1,32
"242","Australia","2024-06-25","Princess Anne",2,32
"243","Australia","2024-06-25","Matt Kean",3,32
"244","Australia","2024-06-25","Foolio",4,32
"245","Australia","2024-06-25","Dagestan",5,32
"246","Australia","2024-06-26","Julian Assange",1,32
"247","Australia","2024-06-26","T20",2,32
"248","Australia","2024-06-26","NHL",3,32
"249","Australia","2024-06-26","Crazy Town",4,32
"250","Australia","2024-06-26","Greg Lynn",5,32
"251","Australia","2024-06-27","State of Origin Game 2",1,32
"252","Australia","2024-06-27","NBA Draft",2,32
"253","Australia","2024-06-27","Women's State of Origin",3,32
"254","Australia","2024-06-27","NRL",4,32
"255","Australia","2024-06-27","WikiLeaks",5,32
"256","Australia","2024-06-28","Presidential debate",1,32
"257","Australia","2024-06-28","The Bear",2,32
"258","Australia","2024-06-28","Kalki",3,32
"259","Australia","2024-06-28","Johnny Furphy",4,32
"260","Australia","2024-06-28","Bolivia",5,32
"261","Austria","2024-06-03","Erzbergrodeo 2024",1,9
"262","Austria","2024-06-03","Mannheim",2,9
"263","Austria","2024-06-03","Kubitschek",3,9
"264","Austria","2024-06-03","Claudia Sheinbaum",4,9
"265","Austria","2024-06-03","Bad Boys",5,9
"266","Austria","2024-06-04","Brigitte Bierlein Bundeskanzlerin",1,9
"267","Austria","2024-06-04","Österreich Serbien",2,9
"268","Austria","2024-06-04","FTI",3,9
"269","Austria","2024-06-04","Djokovic",4,9
"270","Austria","2024-06-04","Deutschland Ukraine",5,9
"271","Austria","2024-06-05","Zverev",1,9
"272","Austria","2024-06-05","Alexander Zverev",2,9
"273","Austria","2024-06-05","Fronius",3,9
"274","Austria","2024-06-05","Franz Kafka",4,9
"275","Austria","2024-06-05","Kafka",5,9
"276","Austria","2024-06-06","Jannik Sinner",1,9
"277","Austria","2024-06-06","Amanda Knox",2,9
"278","Austria","2024-06-06","ORF live",3,9
"279","Austria","2024-06-06","Österreich",4,9
"280","Austria","2024-06-06","Alcaraz",5,9
"281","Austria","2024-06-07","Jeanne Córdova",1,9
"282","Austria","2024-06-07","Zverev",2,9
"283","Austria","2024-06-07","EZB",3,9
"284","Austria","2024-06-07","Hagel",4,9
"285","Austria","2024-06-07","Brigitte Bierlein Begräbnis",5,9
"286","Austria","2024-06-08","Schweiz – Österreich",1,9
"287","Austria","2024-06-08","Österreich Schweiz",2,9
"288","Austria","2024-06-08","Deutschland Griechenland",3,9
"289","Austria","2024-06-08","Pride Wien",4,9
"290","Austria","2024-06-08","Sinner Alcaraz",5,9
"291","Austria","2024-06-09","EU-Wahl österreich",1,9
"292","Austria","2024-06-09","Unwetter Steiermark",2,9
"293","Austria","2024-06-09","Zverev",3,9
"294","Austria","2024-06-09","Eric Philippi",4,9
"295","Austria","2024-06-09","Formel 1",5,9
"296","Austria","2024-06-10","Wahlergebnisse Österreich",1,18
"297","Austria","2024-06-10","EVP",2,18
"298","Austria","2024-06-10","EU-Wahl Deutschland",3,18
"299","Austria","2024-06-10","Europawahl 2024",4,18
"300","Austria","2024-06-10","Alcaraz",5,18
"301","Austria","2024-06-11","ORF news",1,18
"302","Austria","2024-06-11","AUA Flugzeug Hagel",2,18
"303","Austria","2024-06-11","Apple",3,18
"304","Austria","2024-06-11","STANDARD",4,18
"305","Austria","2024-06-11","Der STANDARD",5,18
"306","Austria","2024-06-12","Mallorca Flughafen",1,18
"307","Austria","2024-06-12","GNTM Finale 2024",2,18
"308","Austria","2024-06-12","Vasiliki Alexandri",3,18
"309","Austria","2024-06-12","Türkei",4,18
"310","Austria","2024-06-12","Bardella",5,18
"311","Austria","2024-06-13","Mallorca Flughafen",1,18
"312","Austria","2024-06-13","GNTM Finale 2024",2,18
"313","Austria","2024-06-13","Vasiliki Alexandri",3,18
"314","Austria","2024-06-13","Türkei",4,18
"315","Austria","2024-06-13","Bardella",5,18
"316","Austria","2024-06-14","Deutschland vs Schottland",1,18
"317","Austria","2024-06-14","Deutschland Schottland",2,18
"318","Austria","2024-06-14","GNTM-Finale 2024",3,18
"319","Austria","2024-06-14","Wolfgang Joop",4,18
"320","Austria","2024-06-14","Edin Terzic",5,18
"321","Austria","2024-06-15","EM",1,18
"322","Austria","2024-06-15","Bierlein",2,18
"323","Austria","2024-06-15","Fussball EM",3,18
"324","Austria","2024-06-15","EM heute",4,18
"325","Austria","2024-06-15","Europameisterschaft",5,18
"326","Austria","2024-06-16","Italien Albanien",1,18
"327","Austria","2024-06-16","Spanien Kroatien",2,18
"328","Austria","2024-06-16","Ungarn Schweiz",3,18
"329","Austria","2024-06-16","Le Mans 2024",4,18
"330","Austria","2024-06-16","Bellingham",5,18
"331","Austria","2024-06-17","Österreich Frankreich",1,27
"332","Austria","2024-06-17","England Serbien",2,27
"333","Austria","2024-06-17","Renaturierungsgesetz",3,27
"334","Austria","2024-06-17","Polen Niederlande",4,27
"335","Austria","2024-06-17","Slowenien - Dänemark",5,27
"336","Austria","2024-06-18","Türkei Georgien",1,27
"337","Austria","2024-06-18","Frankreich Österreich",2,27
"338","Austria","2024-06-18","Mbappe",3,27
"339","Austria","2024-06-18","Rumänien Ukraine",4,27
"340","Austria","2024-06-18","Österreich",5,27
"341","Austria","2024-06-19","Kroatien Albanien",1,27
"342","Austria","2024-06-19","Deutschland Ungarn",2,27
"343","Austria","2024-06-19","Portugal Tschechien",3,27
"344","Austria","2024-06-19","Gerald Pichowetz",4,27
"345","Austria","2024-06-19","Pepe",5,27
"346","Austria","2024-06-20","Schweiz Schottland",1,27
"347","Austria","2024-06-20","Wladimir Putin",2,27
"348","Austria","2024-06-20","Manuel Neuer",3,27
"349","Austria","2024-06-20","Toni Kroos",4,27
"350","Austria","2024-06-20","Vollmond",5,27
"351","Austria","2024-06-21","Polen – Österreich",1,27
"352","Austria","2024-06-21","Österreich Polen",2,27
"353","Austria","2024-06-21","Donald Sutherland",3,27
"354","Austria","2024-06-21","Serbien Slowenien",4,27
"355","Austria","2024-06-21","England Dänemark",5,27
"356","Austria","2024-06-22","Frankreich Niederlande",1,27
"357","Austria","2024-06-22","Türkei Portugal",2,27
"358","Austria","2024-06-22","Donauinselfest 2024",3,27
"359","Austria","2024-06-22","Baumgartner",4,27
"360","Austria","2024-06-22","Mbappe",5,27
"361","Austria","2024-06-23","Formel 1",1,27
"362","Austria","2024-06-23","Deutschland Schweiz",2,27
"363","Austria","2024-06-23","Belgien Rumänien",3,27
"364","Austria","2024-06-23","Georgien Tschechien",4,27
"365","Austria","2024-06-23","Ronaldo",5,27
"366","Austria","2024-06-24","Deutschland Schweiz",1,36
"367","Austria","2024-06-24","Barnabas Varga",2,36
"368","Austria","2024-06-24","AC/DC",3,36
"369","Austria","2024-06-24","Kroatien Italien",4,36
"370","Austria","2024-06-24","Formel 1",5,36
"371","Austria","2024-06-25","Österreich Niederlande",1,36
"372","Austria","2024-06-25","Spanien Albanien",2,36
"373","Austria","2024-06-25","EM Tabelle",3,36
"374","Austria","2024-06-25","Tamayo Perry",4,36
"375","Austria","2024-06-25","Michael Schumacher",5,36
"376","Austria","2024-06-26","Österreich Niederlande",1,36
"377","Austria","2024-06-26","Frankreich - Polen",2,36
"378","Austria","2024-06-26","Sabitzer Marcel",3,36
"379","Austria","2024-06-26","Sabitzer",4,36
"380","Austria","2024-06-26","Serbien Dänemark",5,36
"381","Austria","2024-06-27","Österreich Niederlande",1,36
"382","Austria","2024-06-27","Türkei Tschechien",2,36
"383","Austria","2024-06-27","Portugal Georgien",3,36
"384","Austria","2024-06-27","Fredl Fesl",4,36
"385","Austria","2024-06-27","Österreich Türkei",5,36
"386","Austria","2024-06-28","Österreich Türkei",1,36
"387","Austria","2024-06-28","Sophia Thiel",2,36
"388","Austria","2024-06-28","Formel-1 Spielberg",3,36
"389","Austria","2024-06-28","Sebastian Ofner",4,36
"390","Austria","2024-06-28","Ronaldo",5,36
"391","Belgium","2024-06-03","Djokovic",1,3
"392","Belgium","2024-06-03","Sinner",2,3
"393","Belgium","2024-06-03","Mbappe",3,3
"394","Belgium","2024-06-03","Pierre-Yves Jeholet",4,3
"395","Belgium","2024-06-03","Tsitsipas",5,3
"396","Belgium","2024-06-04","Djokovic",1,3
"397","Belgium","2024-06-04","TEC",2,3
"398","Belgium","2024-06-04","Medvedev",3,3
"399","Belgium","2024-06-04","Chris Janssens",4,3
"400","Belgium","2024-06-04","Claudia Sheinbaum",5,3
"401","Belgium","2024-06-05","Match Belgique",1,3
"402","Belgium","2024-06-05","Zverev",2,3
"403","Belgium","2024-06-05","Conner Rousseau",3,3
"404","Belgium","2024-06-05","AI",4,3
"405","Belgium","2024-06-05","Iga świątek",5,3
"406","Belgium","2024-06-06","Bristol",1,3
"407","Belgium","2024-06-06","De Bruyne",2,3
"408","Belgium","2024-06-06","Rybakina",3,3
"409","Belgium","2024-06-06","France-Luxembourg",4,3
"410","Belgium","2024-06-06","D-Day",5,3
"411","Belgium","2024-06-07","Incendie Bruxelles",1,3
"412","Belgium","2024-06-07","Nafi Thiam",2,3
"413","Belgium","2024-06-07","Coco Gauff",3,3
"414","Belgium","2024-06-07","Joe Biden",4,3
"415","Belgium","2024-06-07","Il faut sauver le soldat Ryan",5,3
"416","Belgium","2024-06-08","Belgique Luxembourg",1,3
"417","Belgium","2024-06-08","Alcaraz",2,3
"418","Belgium","2024-06-08","Zverev",3,3
"419","Belgium","2024-06-08","EuroMillions",4,3
"420","Belgium","2024-06-08","Iga świątek",5,3
"421","Belgium","2024-06-09","MR",1,3
"422","Belgium","2024-06-09","Elections 2024",2,3
"423","Belgium","2024-06-09","Resultat Election",3,3
"424","Belgium","2024-06-09","N-VA",4,3
"425","Belgium","2024-06-09","PTB",5,3
"426","Belgium","2024-06-10","Resultat Election Belgique",1,6
"427","Belgium","2024-06-10","RN",2,6
"428","Belgium","2024-06-10","HLN",3,6
"429","Belgium","2024-06-10","Résultats des élections européennes",4,6
"430","Belgium","2024-06-10","Bart De Wever",5,6
"431","Belgium","2024-06-11","Apple",1,6
"432","Belgium","2024-06-11","Alexander Doom",2,6
"433","Belgium","2024-06-11","Els van Doesburg",3,6
"434","Belgium","2024-06-11","HBO Max belgie",4,6
"435","Belgium","2024-06-11","Résultats des élections à Union européenne",5,6
"436","Belgium","2024-06-12","Eric Ciotti",1,6
"437","Belgium","2024-06-12","EuroMillions",2,6
"438","Belgium","2024-06-12","Maroc Congo",3,6
"439","Belgium","2024-06-12","Joachim Lafosse",4,6
"440","Belgium","2024-06-12","Guillaume Meurice",5,6
"441","Belgium","2024-06-13","Eric Ciotti",1,6
"442","Belgium","2024-06-13","EuroMillions",2,6
"443","Belgium","2024-06-13","Maroc Congo",3,6
"444","Belgium","2024-06-13","Joachim Lafosse",4,6
"445","Belgium","2024-06-13","Guillaume Meurice",5,6
"446","Belgium","2024-06-14","Marion Maréchal",1,6
"447","Belgium","2024-06-14","Thomas Dutronc",2,6
"448","Belgium","2024-06-14","Hoboken",3,6
"449","Belgium","2024-06-14","Bridgerton",4,6
"450","Belgium","2024-06-14","Ali B",5,6
"451","Belgium","2024-06-15","Italie-Albanie",1,6
"452","Belgium","2024-06-15","Allemagne-Ecosse",2,6
"453","Belgium","2024-06-15","Match Euro 2024",3,6
"454","Belgium","2024-06-15","Espagne-Croatie",4,6
"455","Belgium","2024-06-15","EK voetbal 2024",5,6
"456","Belgium","2024-06-16","Matija Sarkic",1,6
"457","Belgium","2024-06-16","Lamine Yamal",2,6
"458","Belgium","2024-06-16","Spanje kroatie",3,6
"459","Belgium","2024-06-16","Le Mans 2024",4,6
"460","Belgium","2024-06-16","Trooping the Colour",5,6
"461","Belgium","2024-06-17","Belgique-Slovaquie",1,9
"462","Belgium","2024-06-17","Belgie Slowakije",2,9
"463","Belgium","2024-06-17","Jodie Devos",3,9
"464","Belgium","2024-06-17","Nederland Polen",4,9
"465","Belgium","2024-06-17","Bellingham",5,9
"466","Belgium","2024-06-18","France - Autriche",1,9
"467","Belgium","2024-06-18","Roumanie Ukraine",2,9
"468","Belgium","2024-06-18","Bellingham",3,9
"469","Belgium","2024-06-18","Match France",4,9
"470","Belgium","2024-06-18","Kylian Mbappé",5,9
"471","Belgium","2024-06-19","Ronaldo",1,9
"472","Belgium","2024-06-19","Arda guler",2,9
"473","Belgium","2024-06-19","Casa",3,9
"474","Belgium","2024-06-19","Un homme et une femme",4,9
"475","Belgium","2024-06-19","Portugal Tsjechië",5,9
"476","Belgium","2024-06-20","Croatie Albanie",1,9
"477","Belgium","2024-06-20","Allemagne – Hongrie",2,9
"478","Belgium","2024-06-20","Shaqiri",3,9
"479","Belgium","2024-06-20","Duitsland Hongarije",4,9
"480","Belgium","2024-06-20","Matthias Diependaele",5,9
"481","Belgium","2024-06-21","Espagne Italie",1,9
"482","Belgium","2024-06-21","Donald Sutherland",2,9
"483","Belgium","2024-06-21","Nico Williams",3,9
"484","Belgium","2024-06-21","Spanje italie",4,9
"485","Belgium","2024-06-21","Annick De Ridder",5,9
"486","Belgium","2024-06-22","Belgique-Roumanie",1,9
"487","Belgium","2024-06-22","Belgie roemenie",2,9
"488","Belgium","2024-06-22","France - Pays-Bas",3,9
"489","Belgium","2024-06-22","Nederland - Frankrijk",4,9
"490","Belgium","2024-06-22","Mbappe",5,9
"491","Belgium","2024-06-23","Belgie roemenie",1,9
"492","Belgium","2024-06-23","Kevin De Bruyne",2,9
"493","Belgium","2024-06-23","Turquie Portugal",3,9
"494","Belgium","2024-06-23","Lukaku",4,9
"495","Belgium","2024-06-23","F1",5,9
"496","Belgium","2024-06-24","Barnabas Varga",1,12
"497","Belgium","2024-06-24","Suisse – Allemagne",2,12
"498","Belgium","2024-06-24","Duitsland Zwitserland",3,12
"499","Belgium","2024-06-24","Arnaud De Lie",4,12
"500","Belgium","2024-06-24","Dagestan",5,12
"501","Belgium","2024-06-25","Italie Croatie",1,12
"502","Belgium","2024-06-25","Tour Kennedy Liège",2,12
"503","Belgium","2024-06-25","Espagne-Albanie",3,12
"504","Belgium","2024-06-25","Tamayo Perry",4,12
"505","Belgium","2024-06-25","Albanië  Spanje",5,12
"506","Belgium","2024-06-26","France-Pologne",1,12
"507","Belgium","2024-06-26","Nederland - Oostenrijk",2,12
"508","Belgium","2024-06-26","Julian Assange",3,12
"509","Belgium","2024-06-26","Pays-Bas – Autriche",4,12
"510","Belgium","2024-06-26","Frankrijk  Polen",5,12
"511","Belgium","2024-06-27","Belgique Ukraine",1,12
"512","Belgium","2024-06-27","Oekraïne-België",2,12
"513","Belgium","2024-06-27","Georgie",3,12
"514","Belgium","2024-06-27","France Belgique",4,12
"515","Belgium","2024-06-27","Slovaquie – Roumanie",5,12
"516","Belgium","2024-06-28","Rammstein Oostende",1,12
"517","Belgium","2024-06-28","Ronaldo",2,12
"518","Belgium","2024-06-28","Juliette Goormans",3,12
"519","Belgium","2024-06-28","LeBron James",4,12
"520","Belgium","2024-06-28","Chanson raciste",5,12
"521","Brazil","2024-06-03","Palmeiras",1,27
"522","Brazil","2024-06-03","São Paulo x Cruzeiro",2,27
